Date,OIL,EXR,M2,INF,D2008,D2020,D2022
2000-01-01,25.59,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-02-01,25.38,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-03-01,27.7,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-04-01,27.47,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-05-01,22.54,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-06-01,27.34,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-07-01,29.68,1353.5,1090951600000.0,25.81,0.0,0.0,0.0
2000-08-01,28.53,1350.51,1112614350000.0,25.98,0.0,0.0,0.0
2000-09-01,29.43,1347.53,1134277100000.0,26.15,0.0,0.0,0.0
2000-10-01,32.62,1344.55,1155939850000.0,26.32,0.0,0.0,0.0
2000-11-01,30.93,1341.56,1177602600000.0,26.49,0.0,0.0,0.0
2000-12-01,32.52,1338.58,1199265350000.0,26.66,0.0,0.0,0.0
2001-01-01,25.13,1335.6,1220928100000.0,26.83,0.0,0.0,0.0
2001-02-01,25.64,1332.61,1242590850000.0,27.0,0.0,0.0,0.0
2001-03-01,27.41,1329.63,1264253600000.0,27.17,0.0,0.0,0.0
2001-04-01,24.4,1326.65,1285916350000.0,27.34,0.0,0.0,0.0
2001-05-01,25.64,1323.67,1307579100000.0,27.51,0.0,0.0,0.0
2001-06-01,28.45,1320.68,1329241850000.0,27.68,0.0,0.0,0.0
2001-07-01,27.72,1317.7,1350904600000.0,27.85,0.0,0.0,0.0
2001-08-01,24.54,1321.76,1359862116301.93,28.23,0.0,0.0,0.0
2001-09-01,25.7,1325.81,1368819632603.85,28.61,0.0,0.0,0.0
2001-10-01,25.54,1329.87,1377777148905.78,29.0,0.0,0.0,0.0
2001-11-01,20.48,1333.93,1386734665207.71,29.38,0.0,0.0,0.0
2001-12-01,18.94,1337.99,1395692181509.63,29.76,0.0,0.0,0.0
2002-01-01,18.6,1342.04,1404649697811.56,30.15,0.0,0.0,0.0
2002-02-01,19.49,1346.1,1413607214113.49,30.53,0.0,0.0,0.0
2002-03-01,20.29,1350.16,1422564730415.41,30.91,0.0,0.0,0.0
2002-04-01,23.69,1354.22,1431522246717.34,31.29,0.0,0.0,0.0
2002-05-01,25.65,1358.28,1440479763019.27,31.68,0.0,0.0,0.0
2002-06-01,25.39,1362.33,1449437279321.19,32.06,0.0,0.0,0.0
2002-07-01,24.13,1366.39,1458394795623.12,32.44,0.0,0.0,0.0
2002-08-01,25.77,1355.72,1469106635034.63,32.4,0.0,0.0,0.0
2002-09-01,26.63,1345.05,1479818474446.13,32.35,0.0,0.0,0.0
2002-10-01,28.34,1334.38,1490530313857.64,32.3,0.0,0.0,0.0
2002-11-01,27.55,1323.7,1501242153269.15,32.26,0.0,0.0,0.0
2002-12-01,24.18,1313.03,1511953992680.65,32.21,0.0,0.0,0.0
2003-01-01,28.52,1302.36,1522665832092.16,32.17,0.0,0.0,0.0
2003-02-01,31.25,1291.69,1533377671503.67,32.12,0.0,0.0,0.0
2003-03-01,32.65,1281.02,1544089510915.17,32.07,0.0,0.0,0.0
2003-04-01,30.34,1270.34,1554801350326.68,32.03,0.0,0.0,0.0
2003-05-01,25.02,1259.67,1565513189738.19,31.98,0.0,0.0,0.0
2003-06-01,25.81,1249.0,1576225029149.69,31.94,0.0,0.0,0.0
2003-07-01,27.55,1238.33,1586936868561.2,31.89,0.0,0.0,0.0
2003-08-01,28.4,1290.87,1620294083581.1,32.26,0.0,0.0,0.0
2003-09-01,29.83,1343.42,1653651298601.0,32.63,0.0,0.0,0.0
2003-10-01,27.1,1395.96,1687008513620.9,33.0,0.0,0.0,0.0
2003-11-01,29.59,1448.5,1720365728640.8,33.37,0.0,0.0,0.0
2003-12-01,28.77,1501.05,1753722943660.7,33.74,0.0,0.0,0.0
2004-01-01,29.93,1553.59,1787080158680.6,34.12,0.0,0.0,0.0
2004-02-01,31.18,1606.14,1820437373700.5,34.49,0.0,0.0,0.0
2004-03-01,30.87,1658.68,1853794588720.4,34.86,0.0,0.0,0.0
2004-04-01,33.8,1711.23,1887151803740.3,35.23,0.0,0.0,0.0
2004-05-01,33.36,1763.77,1920509018760.2,35.6,0.0,0.0,0.0
2004-06-01,37.92,1816.31,1953866233780.1,35.97,0.0,0.0,0.0
2004-07-01,35.19,1868.86,1987223448800.0,36.34,0.0,0.0,0.0
2004-08-01,38.37,1880.04,1990943794194.96,36.9,0.0,0.0,0.0
2004-09-01,43.03,1891.22,1994664139589.91,37.45,0.0,0.0,0.0
2004-10-01,43.38,1902.4,1998384484984.87,38.01,0.0,0.0,0.0
2004-11-01,49.82,1913.58,2002104830379.83,38.56,0.0,0.0,0.0
2004-12-01,43.05,1924.76,2005825175774.78,39.12,0.0,0.0,0.0
2005-01-01,39.64,1935.94,2009545521169.74,39.68,0.0,0.0,0.0
2005-02-01,44.28,1947.12,2013265866564.7,40.23,0.0,0.0,0.0
2005-03-01,45.56,1958.3,2016986211959.65,40.79,0.0,0.0,0.0
2005-04-01,53.08,1969.48,2020706557354.61,41.35,0.0,0.0,0.0
2005-05-01,51.86,1980.66,2024426902749.57,41.9,0.0,0.0,0.0
2005-06-01,48.67,1991.85,2028147248144.52,42.46,0.0,0.0,0.0
2005-07-01,54.31,2003.03,2031867593539.48,43.01,0.0,0.0,0.0
2005-08-01,57.58,2014.63,2084214791674.51,43.4,0.0,0.0,0.0
2005-09-01,64.09,2026.24,2136561989809.54,43.79,0.0,0.0,0.0
2005-10-01,62.98,2037.84,2188909187944.56,44.17,0.0,0.0,0.0
2005-11-01,58.52,2049.45,2241256386079.59,44.56,0.0,0.0,0.0
2005-12-01,55.54,2061.06,2293603584214.62,44.94,0.0,0.0,0.0
2006-01-01,56.75,2072.66,2345950782349.65,45.33,0.0,0.0,0.0
2006-02-01,63.57,2084.27,2398297980484.68,45.72,0.0,0.0,0.0
2006-03-01,59.92,2095.88,2450645178619.71,46.1,0.0,0.0,0.0
2006-04-01,62.25,2107.48,2502992376754.74,46.49,0.0,0.0,0.0
2006-05-01,70.44,2119.09,2555339574889.76,46.87,0.0,0.0,0.0
2006-06-01,70.19,2130.7,2607686773024.79,47.26,0.0,0.0,0.0
2006-07-01,68.86,2142.3,2660033971159.82,47.64,0.0,0.0,0.0
2006-08-01,73.9,2119.93,2707267634180.75,48.05,0.0,0.0,0.0
2006-09-01,73.61,2097.56,2754501297201.68,48.46,0.0,0.0,0.0
2006-10-01,62.77,2075.2,2801734960222.61,48.87,0.0,0.0,0.0
2006-11-01,58.38,2052.83,2848968623243.55,49.28,0.0,0.0,0.0
2006-12-01,58.48,2030.46,2896202286264.48,49.69,0.0,0.0,0.0
2007-01-01,62.31,2008.09,2943435949285.41,50.1,0.0,0.0,0.0
2007-02-01,54.3,1985.72,2990669612306.34,50.5,0.0,0.0,0.0
2007-03-01,57.76,1963.35,3037903275327.27,50.91,0.0,0.0,0.0
2007-04-01,62.14,1940.98,3085136938348.2,51.32,0.0,0.0,0.0
2007-05-01,67.4,1918.61,3132370601369.14,51.73,0.0,0.0,0.0
2007-06-01,67.48,1896.25,3179604264390.07,52.14,0.0,0.0,0.0
2007-07-01,71.32,1873.88,3226837927411.0,52.55,0.0,0.0,0.0
2007-08-01,77.2,1860.08,3259743120303.73,52.95,0.0,0.0,0.0
2007-09-01,70.8,1846.29,3292648313196.46,53.36,0.0,0.0,0.0
2007-10-01,77.13,1832.5,3325553506089.2,53.77,0.0,0.0,0.0
2007-11-01,82.86,1818.71,3358458698981.93,54.17,0.0,0.0,0.0
2007-12-01,92.53,1804.92,3391363891874.66,54.58,0.0,0.0,0.0
2008-01-01,91.45,1791.12,3424269084767.39,54.99,0.0,0.0,0.0
2008-02-01,91.92,1777.33,3457174277660.12,55.4,0.0,0.0,0.0
2008-03-01,94.82,1763.54,3490079470552.85,55.8,0.0,0.0,0.0
2008-04-01,103.28,1749.75,3522984663445.58,56.21,0.0,0.0,0.0
2008-05-01,110.19,1735.96,3555889856338.32,56.62,0.0,0.0,0.0
2008-06-01,123.94,1722.16,3588795049231.05,57.02,0.0,0.0,0.0
2008-07-01,133.05,1708.37,3621700242123.78,57.43,0.0,0.0,0.0
2008-08-01,133.87,1729.02,3652222664682.28,57.86,0.0,0.0,0.0
2008-09-01,113.85,1749.68,3682745087240.78,58.29,1.0,0.0,0.0
2008-10-01,99.06,1770.33,3713267509799.28,58.72,1.0,0.0,0.0
2008-11-01,72.84,1790.98,3743789932357.78,59.15,1.0,0.0,0.0
2008-12-01,53.24,1811.64,3774312354916.28,59.57,1.0,0.0,0.0
2009-01-01,41.58,1832.29,3804834777474.78,60.0,1.0,0.0,0.0
2009-02-01,44.86,1852.94,3835357200033.28,60.43,1.0,0.0,0.0
2009-03-01,43.24,1873.59,3865879622591.78,60.86,1.0,0.0,0.0
2009-04-01,46.84,1894.25,3896402045150.28,61.29,1.0,0.0,0.0
2009-05-01,50.85,1914.9,3926924467708.78,61.72,1.0,0.0,0.0
2009-06-01,57.94,1935.55,3957446890267.28,62.15,1.0,0.0,0.0
2009-07-01,68.62,1956.21,3987969312825.78,62.57,0.0,0.0,0.0
2009-08-01,64.91,1967.35,4027040710685.25,63.06,0.0,0.0,0.0
2009-09-01,72.5,1978.5,4066112108544.71,63.54,0.0,0.0,0.0
2009-10-01,67.69,1989.64,4105183506404.18,64.02,0.0,0.0,0.0
2009-11-01,73.19,2000.79,4144254904263.65,64.5,0.0,0.0,0.0
2009-12-01,77.04,2011.93,4183326302123.11,64.98,0.0,0.0,0.0
2010-01-01,74.67,2023.08,4222397699982.58,65.47,0.0,0.0,0.0
2010-02-01,76.37,2034.22,4261469097842.05,65.95,0.0,0.0,0.0
2010-03-01,74.31,2045.37,4300540495701.51,66.43,0.0,0.0,0.0
2010-04-01,79.27,2056.51,4339611893560.98,66.91,0.0,0.0,0.0
2010-05-01,84.98,2067.66,4378683291420.45,67.4,0.0,0.0,0.0
2010-06-01,76.25,2078.8,4417754689279.91,67.88,0.0,0.0,0.0
2010-07-01,74.84,2089.95,4456826087139.38,68.36,0.0,0.0,0.0
2010-08-01,74.74,2084.55,4519735868485.94,68.9,0.0,0.0,0.0
2010-09-01,76.69,2079.14,4582645649832.5,69.44,0.0,0.0,0.0
2010-10-01,77.79,2073.74,4645555431179.06,69.98,0.0,0.0,0.0
2010-11-01,82.92,2068.34,4708465212525.62,70.52,0.0,0.0,0.0
2010-12-01,85.67,2062.94,4771374993872.18,71.06,0.0,0.0,0.0
2011-01-01,91.8,2057.53,4834284775218.73,71.6,0.0,0.0,0.0
2011-02-01,96.29,2052.13,4897194556565.29,72.14,0.0,0.0,0.0
2011-03-01,103.96,2046.73,4960104337911.85,72.68,0.0,0.0,0.0
